"Iteration"	"Chain"	"Parameter"	"value"
"365"	5	3	"etaU1[12]"	9.36182592754468
"366"	6	3	"etaU1[12]"	10.2760925048274
"367"	7	3	"etaU1[12]"	9.76615733234592
"368"	8	3	"etaU1[12]"	10.2441663920292
"369"	9	3	"etaU1[12]"	9.72685859686174
"370"	10	3	"etaU1[12]"	10.1553376258383
"371"	1	3	"etaU1[13]"	10.0034016863677
"372"	2	3	"etaU1[13]"	10.3005459097051
"373"	3	3	"etaU1[13]"	10.3278097438693
"374"	4	3	"etaU1[13]"	9.27085798826339
"375"	5	3	"etaU1[13]"	10.07393976829
"376"	6	3	"etaU1[13]"	10.6112480372403
"377"	7	3	"etaU1[13]"	10.3947394593009
"378"	8	3	"etaU1[13]"	10.0639310742767
"379"	9	3	"etaU1[13]"	10.4419159902809
"380"	10	3	"etaU1[13]"	9.97880294912081
"381"	1	3	"etaU1[14]"	10.0366732098934
"382"	2	3	"etaU1[14]"	9.64008345138447
"383"	3	3	"etaU1[14]"	9.97389709335394
"384"	4	3	"etaU1[14]"	9.96700204087381
"385"	5	3	"etaU1[14]"	9.55861185939149
"386"	6	3	"etaU1[14]"	10.218179499883
"387"	7	3	"etaU1[14]"	10.0994687365248
"388"	8	3	"etaU1[14]"	9.41681200923134
"389"	9	3	"etaU1[14]"	10.1328302302856
"390"	10	3	"etaU1[14]"	9.91631079113461
"391"	1	3	"etaU1[15]"	8.8554171130847
"392"	2	3	"etaU1[15]"	9.03622068613323
"393"	3	3	"etaU1[15]"	9.03308783458096
"394"	4	3	"etaU1[15]"	9.33382195701912
"395"	5	3	"etaU1[15]"	8.9624703413137
"396"	6	3	"etaU1[15]"	9.34302666101678
"397"	7	3	"etaU1[15]"	9.26924236382135
"398"	8	3	"etaU1[15]"	9.10376494712496
"399"	9	3	"etaU1[15]"	9.70647579405121
"400"	10	3	"etaU1[15]"	9.0579726581849
"401"	1	3	"etaU1[16]"	8.80610870132406
"402"	2	3	"etaU1[16]"	9.31650668140563
"403"	3	3	"etaU1[16]"	9.12459435077674
"404"	4	3	"etaU1[16]"	8.75137814472471
"405"	5	3	"etaU1[16]"	8.45257482458447
"406"	6	3	"etaU1[16]"	9.65394452479761
"407"	7	3	"etaU1[16]"	9.12601670035492
"408"	8	3	"etaU1[16]"	9.34151403234456
"409"	9	3	"etaU1[16]"	9.10373946491047
"410"	10	3	"etaU1[16]"	8.57648578972464
"411"	1	3	"etaU1[17]"	8.79161770890308
"412"	2	3	"etaU1[17]"	8.30736857242481
"413"	3	3	"etaU1[17]"	9.25458821312039
"414"	4	3	"etaU1[17]"	8.22143355365819
"415"	5	3	"etaU1[17]"	9.1816770075199
"416"	6	3	"etaU1[17]"	8.69893774102953
"417"	7	3	"etaU1[17]"	8.67686518476985
"418"	8	3	"etaU1[17]"	8.6594908228071
"419"	9	3	"etaU1[17]"	9.3637222340038
"420"	10	3	"etaU1[17]"	9.31977900974007
"421"	1	3	"etaU1[18]"	9.09445513872763
"422"	2	3	"etaU1[18]"	8.667448570802
"423"	3	3	"etaU1[18]"	8.66661256233012
"424"	4	3	"etaU1[18]"	9.12224205601873
"425"	5	3	"etaU1[18]"	9.49342807575092
"426"	6	3	"etaU1[18]"	8.79081060728172
"427"	7	3	"etaU1[18]"	8.30908742010151
"428"	8	3	"etaU1[18]"	9.22984830101053
"429"	9	3	"etaU1[18]"	9.34249291173412
"430"	10	3	"etaU1[18]"	9.04127979035286
"431"	1	3	"etaU1[19]"	8.7206337447699
"432"	2	3	"etaU1[19]"	9.09821658911449
"433"	3	3	"etaU1[19]"	9.18057507740219
"434"	4	3	"etaU1[19]"	9.23572508947562
"435"	5	3	"etaU1[19]"	9.51929464019372
"436"	6	3	"etaU1[19]"	9.35569959303395
"437"	7	3	"etaU1[19]"	9.00515950980208
"438"	8	3	"etaU1[19]"	9.03482255571496
"439"	9	3	"etaU1[19]"	9.2607349930189
"440"	10	3	"etaU1[19]"	9.00917827733317
"441"	1	3	"etaU1[20]"	9.54237508296775
"442"	2	3	"etaU1[20]"	9.32425194830962
"443"	3	3	"etaU1[20]"	9.65882330027545
"444"	4	3	"etaU1[20]"	9.8107750953939
"445"	5	3	"etaU1[20]"	9.00911399366174
"446"	6	3	"etaU1[20]"	9.77178970583719
"447"	7	3	"etaU1[20]"	9.05525091156409
"448"	8	3	"etaU1[20]"	9.69736597669107
"449"	9	3	"etaU1[20]"	9.2065154684175
"450"	10	3	"etaU1[20]"	9.2068141172537
"451"	1	3	"etaU1[21]"	9.38118788896648
"452"	2	3	"etaU1[21]"	8.7484540021968
"453"	3	3	"etaU1[21]"	8.73095964346138
"454"	4	3	"etaU1[21]"	9.50110219724992
"455"	5	3	"etaU1[21]"	8.5626735937076
"456"	6	3	"etaU1[21]"	8.76575716787504
"457"	7	3	"etaU1[21]"	8.51025455379547
"458"	8	3	"etaU1[21]"	9.34536173172699
"459"	9	3	"etaU1[21]"	8.99950374494083
"460"	10	3	"etaU1[21]"	8.58855231349187
"461"	1	3	"etaU1[22]"	9.0338469681779
"462"	2	3	"etaU1[22]"	8.44650967448515
"463"	3	3	"etaU1[22]"	8.96772888625305
"464"	4	3	"etaU1[22]"	8.93813521186846
"465"	5	3	"etaU1[22]"	8.44295089556581
"466"	6	3	"etaU1[22]"	8.59447757984024
"467"	7	3	"etaU1[22]"	8.43117592858514
"468"	8	3	"etaU1[22]"	8.89375022720969
"469"	9	3	"etaU1[22]"	8.9905594878987
"470"	10	3	"etaU1[22]"	8.48830808451132
"471"	1	3	"etaU1[23]"	7.68386162770496
"472"	2	3	"etaU1[23]"	8.01683233170547
"473"	3	3	"etaU1[23]"	8.12100608887291
"474"	4	3	"etaU1[23]"	8.40969449911956
"475"	5	3	"etaU1[23]"	8.2147614185379
