U[10,7]        1.016      1.247
U[11,7]        1.079      1.497
U[12,7]        1.763      3.194
U[13,7]        1.368      2.208
U[14,7]        1.017      1.254
U[15,7]        1.005      1.242
U[16,7]        1.102      1.625
U[17,7]        1.040      1.311
U[18,7]        1.099      1.480
U[19,7]        0.978      1.010
U[20,7]        1.458      2.443
U[21,7]        0.930      0.950
U[22,7]        1.628      2.844
U[23,7]        0.985      1.118
U[24,7]        1.065      1.430
U[1,8]         1.189      2.086
U[2,8]         1.272      1.869
U[3,8]         1.252      2.012
U[4,8]         1.127      1.836
U[5,8]         1.010      1.043
U[6,8]         1.017      1.272
U[7,8]         1.036      1.214
U[8,8]         1.216      2.337
U[9,8]         0.950      0.964
U[10,8]        1.201      2.051
U[11,8]        1.211      1.952
U[12,8]        1.231      2.435
U[13,8]        1.494      2.377
U[14,8]        1.400      2.148
U[15,8]        1.014      1.142
U[16,8]        0.988      1.122
U[17,8]        1.137      1.691
U[18,8]        1.372      2.153
U[19,8]        0.946      0.971
U[20,8]        1.351      2.350
U[21,8]        0.940      1.035
U[22,8]        1.045      1.394
U[23,8]        1.069      1.387
U[24,8]        1.114      1.576
U[1,9]         1.267      3.112
U[2,9]         1.079      1.499
U[3,9]         1.005      1.147
U[4,9]         1.140      1.940
U[5,9]         0.990      1.194
U[6,9]         1.218      3.103
U[7,9]         1.084      1.492
U[8,9]         1.156      1.996
U[9,9]         1.277      3.778
U[10,9]        0.924      0.990
U[11,9]        1.034      1.356
U[12,9]        1.368      2.698
U[13,9]        1.075      1.532
U[14,9]        1.098      1.645
U[15,9]        1.043      1.325
U[16,9]        1.755      3.156
U[17,9]        1.101      1.637
U[18,9]        1.082      1.402
U[19,9]        1.067      1.388
U[20,9]        0.982      1.165
U[21,9]        1.264      1.901
U[22,9]        1.141      1.778
U[23,9]        1.172      1.862
U[24,9]        1.278      1.942
U[1,10]        1.051      1.397
U[2,10]        1.106      1.684
U[3,10]        0.969      1.131
U[4,10]        1.159      1.619
U[5,10]        0.988      1.040
U[6,10]        0.955      1.037
U[7,10]        1.076      1.523
U[8,10]        1.294      3.892
U[9,10]        1.270      3.388
U[10,10]       1.005      1.166
U[11,10]       0.962      1.068
U[12,10]       1.307      2.900
U[13,10]       0.995      1.194
U[14,10]       1.813      3.629
U[15,10]       1.044      1.316
U[16,10]       1.037      1.355
U[17,10]       0.943      1.056
U[18,10]       1.010      1.214
U[19,10]       0.975      1.055
U[20,10]       0.954      1.003
U[21,10]       1.142      1.825
U[22,10]       1.290      2.150
U[23,10]       1.104      1.642
U[24,10]       1.282      2.275
U[1,11]        1.054      1.365
U[2,11]        1.713      3.026
U[3,11]        1.222      2.721
U[4,11]        1.111      1.593
U[5,11]        1.098      1.548
U[6,11]        1.475      4.725
U[7,11]        0.985      1.149
U[8,11]        1.029      1.292
U[9,11]        1.281      3.782
U[10,11]       1.368      3.917
U[11,11]       1.087      1.307
U[12,11]       1.137      1.692
U[13,11]       1.193      1.682
U[14,11]       1.067      1.439
U[15,11]       1.107      1.726
U[16,11]       1.080      1.483
U[17,11]       1.145      1.807
U[18,11]       0.968      1.119
U[19,11]       1.003      1.057
U[20,11]       0.936      1.002
U[21,11]       1.194      1.941
U[22,11]       1.031      1.334
U[23,11]       1.393      2.391
U[24,11]       1.291      2.364
U[1,12]        0.994      1.172
U[2,12]        1.018      1.231
U[3,12]        1.495      3.970
U[4,12]        0.920      0.972
U[5,12]        0.957      1.083
U[6,12]        0.937      0.996
U[7,12]        0.930      0.970
U[8,12]        1.063      1.393
U[9,12]        1.328      2.069
U[10,12]       1.246      2.954
U[11,12]       0.956      1.081
U[12,12]       1.452      4.868
U[13,12]       2.879      9.434
U[14,12]       0.971      1.123
U[15,12]       0.959      0.978
U[16,12]       0.994      1.168
U[17,12]       0.965      1.023
U[18,12]       1.334      2.051
U[19,12]       0.957      0.988
U[20,12]       1.599      2.768
U[21,12]       1.052      1.394
U[22,12]       1.172      1.726
U[23,12]       1.287      1.933
U[24,12]       0.951      1.075
U[1,13]        1.012      1.250
U[2,13]        1.091      1.433
U[3,13]        1.096      1.575
U[4,13]        1.610      5.020
U[5,13]        1.274      2.300
U[6,13]        0.959      1.095
U[7,13]        1.046      1.310
U[8,13]        1.050      1.412
U[9,13]        1.214      1.834
U[10,13]       1.196      2.233
U[11,13]       1.017      1.251
U[12,13]       1.219      2.565
U[13,13]       0.919      0.978
U[14,13]       1.230      2.014
U[15,13]       1.099      1.607
U[16,13]       1.287      2.040
U[17,13]       1.044      1.339
U[18,13]       1.255      2.165
U[19,13]       0.959      1.102
U[20,13]       0.980      1.163
U[21,13]       1.568      2.761
U[22,13]       0.993      1.057
U[23,13]       1.121      1.518
U[24,13]       1.038      1.344
deviance       1.009      1.211
etaP1[1]       1.172      1.813
etaP1[2]       1.473      2.581
etaP1[3]       1.119      1.581
etaP1[4]       1.214      1.984
etaP1[5]       0.976      1.090
etaP1[6]       1.089      1.462
etaP1[7]       1.080      1.463
etaP1[8]       1.320      2.515
etaP1[9]       0.930      0.967
etaP1[10]      1.358      2.052
etaP1[11]      0.978      1.157
etaP1[12]      1.263      1.840
etaP1[13]      1.070      1.422
etaP1[14]      0.938      0.938
etaP1[15]      1.103      1.490
etaP1[16]      1.094      1.601
etaP1[17]      1.108      1.694
etaP1[18]      1.025      1.319
etaP1[19]      1.297      2.033
etaP1[20]      1.023      1.314
etaP1[21]      1.190      1.890
